,time,average,size
0,1.1252610683441162,1.1252610683441162,772893
1,2.459871292114258,1.792566180229187,768819
2,2.4602746963500977,2.0151356856028237,769679
3,2.4656035900115967,2.127752661705017,772472
4,2.4661078453063965,2.195423698425293,773356
5,2.466853380203247,2.2406619787216187,773206
6,2.4671123027801514,2.273012025015695,770166
7,2.4676175117492676,2.2973377108573914,770350
8,2.468022584915161,2.31630269686381,769957
9,2.468261241912842,2.331498551368713,769497
10,2.468818187713623,2.343982154672796,768922
11,2.4688720703125,2.3543896476427713,769108
12,2.469148635864258,2.3632172621213474,769485
13,2.469755172729492,2.370827112879072,769539
14,2.46985125541687,2.377428722381592,769572
15,2.470876693725586,2.3832692205905914,769590
16,3.760728597640991,2.464296242770027,769411
17,3.7609875202178955,2.536334647072686,769411
18,3.766080856323242,2.601058131770084,769411
19,3.7661216259002686,2.659311306476593,769411
20,3.7661962509155273,2.7120201133546376,769100
21,3.7660422325134277,2.759930209680037,768849
22,3.765872001647949,2.803666809330816,769107
23,3.7655460834503174,2.8437451124191284,768289
24,3.7654004096984863,2.8806113243103026,748371
25,3.7652573585510254,2.9146361717811,728975
26,3.765385866165161,2.94614541972125,724416
27,3.7653255462646484,2.975401852812086,718234
28,3.7652156352996826,3.0026368108288994,726939
29,3.7651076316833496,3.028052504857381,706601
30,3.7658514976501465,3.0518524723668254,706201
31,5.071582317352295,3.114969030022621,701492
32,5.071713209152222,3.1742643081780635,717833
33,5.076925277709961,3.2302249249290016,704317
34,5.0771613121032715,3.282994535991124,703491
35,5.077333927154541,3.3328372968567743,698278
36,5.077322959899902,3.379985558020102,706059
37,5.077270030975342,3.424650938887345,692459
38,5.077167749404907,3.467023164798052,701737
39,5.077061653137207,3.507274127006531,699754
40,5.077036380767822,3.545561011244611,715570
41,5.076983690261841,3.5820234559831166,703251
42,5.076928377151489,3.6167886867079626,700652
43,5.077030658721924,3.6499760042537344,695196
44,5.076968431472778,3.681686947080824,704662
45,5.0768914222717285,3.7120174791501914,694164
46,5.077038526535034,3.7410604801583798,694080
47,6.374701976776123,3.795928011337916,689291
48,6.381576776504517,3.8486963534841734,697844
49,6.381932735443115,3.899361081123352,691421
50,6.382543325424194,3.9480509290508197,703209
51,6.38262939453125,3.994869745694674,696416
52,6.382715940475464,4.039923447482991,694409
53,6.382781505584717,4.083309707818208,693313
54,6.382983446121216,4.125121957605535,687986
55,6.3830766677856445,4.16544257743018,683095
56,6.383586883544922,4.204357389818158,693341
57,6.383539438247681,4.241929494101425,686515
58,6.3835837841033936,4.278228719355696,688345
59,6.3836236000061035,4.3133186340332035,688729
60,6.38377571105957,4.347260553328717,691457
61,6.384221315383911,4.380114759168317,684710
62,6.384141683578491,4.411924710349431,693827
63,6.384023904800415,4.442738760262728,700567
64,7.675895690917969,4.492479636118962,709107
65,7.676325082778931,4.540719718644113,696806
66,7.681737422943115,4.587600579902308,699523
67,7.682104825973511,4.633107995285707,692506
68,7.6822450160980225,4.677298386891683,704289
69,7.682246923446655,4.720226223128183,706856
