,Kafka,,RabbitMQ,,
,time,average,time,average,size
110,10.298454284668,6.34444624454052,8.73475956916809,4.50002471605937,701131
111,10.2986204624176,6.37975137148585,8.8125958442688,4.53852981541838,709057
112,10.2989580631256,6.41443461654461,8.88980484008789,4.57703667404377,701128
113,11.5926661491394,6.45985770016386,8.96628141403198,4.61553882088578,697248
114,11.5995888710022,6.50455101469289,9.04237604141235,4.65403305758601,700375
115,11.59965467453,6.54847432210528,9.11965179443359,4.69252977083469,702510
116,11.6001887321472,6.59165136834495,9.19695210456848,4.73102910702045,701890
117,11.6004614830017,6.6340989116895,9.27463006973267,4.76953419992479,704939
118,11.600713968277,6.67583517266923,9.35184025764465,4.80804097351908,703526
119,11.6009793281555,6.71687804063161,9.42991733551025,4.846556609869,710089
120,11.6011612415314,6.75724401749855,9.50818753242493,4.88508248526203,694513
121,11.6016738414764,6.7969524586787,9.59170794487,4.92366138247193,700575
122,11.6026771068573,6.83602339077771,9.66828560829163,4.96223556316965,696795
123,11.6031720638275,6.87446813814102,9.74534916877747,5.00080905998907,701762
124,11.6033003330231,6.91229879570007,9.82239937782288,5.03938178253174,699210
125,11.6038374900818,6.94953322978247,9.89985251426697,5.07795694706932,703105
126,11.6039650440216,6.98618229918593,9.97569799423218,5.11652183720446,701392
127,11.6043109893799,7.02226142957807,10.0527777671814,5.15508633665741,706119
128,11.6043655872345,7.05778161684672,10.1300039291382,5.1936515893123,702114
129,12.9032323360443,7.10274662237901,10.2074987888336,5.23221964469323,705043
130,12.9039835929871,7.14703087406304,10.2843611240387,5.27078561018442,699496
131,12.9053606987,7.19065458485574,10.3615384101868,5.30935191927534,703762
132,12.9056801795959,7.23362470210943,10.439368724823,5.34792347420427,707074
133,12.9059631824493,7.27595558629107,10.5164515972137,5.38649457959987,701730
134,12.9063639640808,7.31766231501544,10.5942006111145,5.42507017983331,708903
135,12.9065237045288,7.35875688405598,10.6714622974396,5.46364659246276,702049
136,12.906760931015,7.39925326396079,10.7493288516998,5.50222821479296,708384
137,12.9069445133209,7.43916407011557,10.8266534805298,5.54081100657366,703309
138,12.9074223041534,7.47850405741081,10.9040710926056,5.57939561150914,715989
139,12.9084129333496,7.51728912081037,10.9818508625031,5.61798457758767,706398
140,12.9090571403503,7.55552861031066,11.0598037242889,5.65657903962102,707294
141,12.9095129966736,7.59323272570758,11.1369159221649,5.69517296132907,705170
142,12.9099698066711,7.63041270529474,11.2150604724884,5.73377357329522,708602
143,12.9104449748993,7.66707959605588,11.2923266887665,5.7723746365971,700265
144,12.910758972168,7.70324290209803,11.3713843822479,5.81098849691194,703026
145,14.2069816589355,7.74778905796678,11.4486525058746,5.84960263395963,702618
146,14.2074656486511,7.7917324361347,11.5270626544952,5.88822481097007,711813
147,14.213271856308,7.83512121600074,11.6043405532837,5.92684721463435,702884
148,14.2137267589569,7.87793064917494,11.6817860603333,5.96547096527663,702262
149,14.2142643928528,7.92017287413279,11.7581489086151,6.00408881823222,697353
150,14.2144973278046,7.9618571420379,11.8350813388824,6.04270466273984,706443
151,14.2148714065552,8.00299539377815,11.9125163555145,6.08132184492914,705749
152,14.2153208255768,8.04359882797291,11.9901711940765,6.11994177531573,705272
153,14.2157735824585,8.08367788482022,12.0673000812531,6.15856098509454,702988
154,14.2165806293488,8.12324499930105,12.1448268890381,6.19718205544256,704154
155,14.2168567180634,8.16230661288286,12.2211108207703,6.23579698342543,696100
156,14.2174062728882,8.20087412664086,12.2980091571808,6.27440979981878,698590
157,14.2175650596619,8.23895444900175,12.375919342041,6.31302694882019,707202
158,14.2178199291229,8.27655737654968,12.4563410282135,6.35166414428807,729567
159,14.2180490493774,8.31369169950485,12.5354764461517,6.39031297117472,722075
160,14.2183990478516,8.35036690042626,12.614725112915,6.42897391615447,718630
161,15.5114493370056,8.39457111299774,12.6933815479279,6.46764309906665,716044
162,15.5121192932129,8.43823705275366,12.7706470489502,6.50631183495551,709440
163,15.5179092884064,8.48140578589788,12.8473069667816,6.54497643941786,700209
164,15.5185854434967,8.5240553595803,12.924013376236,6.58363726933797,696081
165,15.5191464424133,8.56619446248893,13.0005261898041,6.62229322669018,698561
166,15.5192787647247,8.60782969783166,13.0781016349793,6.66095076206915,703234
167,15.5198903083801,8.64897291575159,13.1548736095428,6.69960506473269,701294
168,15.5203285217285,8.6896318246627,13.2321882247925,6.73825940295789,701240
169,15.5207102298737,8.729814638811,13.3094644546509,6.77691355032079,702913
170,15.5208168029785,8.76952810175935,13.3901374340057,6.81558737420199,707167
171,15.5213012695312,8.80878259692081,13.4745843410492,6.85430247284645,718658
172,15.5216927528381,8.84758554579895,13.5520250797272,6.8930176324238,702163
173,15.5222296714783,8.88594556950975,13.6299283504486,6.9317355101136,705103
174,15.5227875709534,8.92387038094657,13.7064938545227,6.97044841493879,702525
175,15.5234272480011,8.96136786314574,13.7833907604218,7.00915831462903,707371
176,15.523973941803,8.99844473364663,13.8601324558258,7.04786438322337,698945
177,16.8216652870178,9.04239541091276,13.938289642334,7.08657463748803,711345
178,16.8219556808472,9.08585664147105,14.0163161754608,7.12528827736498,712389
179,16.8277792930603,9.12886732286877,14.0955939292908,7.16401219765345,718715
180,16.8283085823059,9.17140567236842,14.1721560955048,7.2027312247134,697189
181,16.8288867473602,9.21347974420904,14.248920917511,7.24144655269581,699461
182,16.8293881416321,9.25509672998731,14.3264591693878,7.28016246863402,705816
183,16.8297393321991,9.29626326586889,14.4049892425537,7.31888435327488,714133
184,16.8298313617706,9.33698525557647,14.483544588089,7.35761224643604,713774
185,16.8301544189453,9.37727111129351,14.5617055892944,7.39634393107507,709199
186,16.8305559158325,9.41712824928569,14.6388463973999,7.43507389078803,706422
187,16.8312497138977,9.45656506558682,14.7152819633484,7.47379840181229,702904
188,16.83163189888,9.49558658322329,14.792343378067,7.51252086200411,699207
189,16.8319864273071,9.53419921398163,14.8689982891083,7.55123916425203,696896
190,16.8324568271637,9.57240998682551,14.9457161426544,7.58995370340597,698163
191,16.8323028087616,9.61022192860643,15.0236842632294,7.62867105007172,707110
192,16.8328320980072,9.64764477922509,15.1003439426422,7.6673843811213,697251
193,18.1250123977661,9.69134255045468,15.1765205860138,7.70609126877539,690601
194,18.1256854534149,9.73459559098268,15.2531809806824,7.74479429293902,691631
195,18.1318416595459,9.77743868316923,15.3295319080353,7.78349193383236,694984
196,18.1328253746033,9.8198518135826,15.4051201343536,7.82218040185531,684800
197,18.1337616443634,9.8618412571724,15.4805090427399,7.86085882933453,687674
198,18.1347224712372,9.90341352457976,15.5561442375183,7.89952860525505,687973
199,18.1356120109558,9.94457451701164,15.6307942867279,7.93818493366241,686252
200,18.1362290382385,9.98532901711725,15.7063364982605,7.9768324538843,686761
201,18.1367597579956,10.0256826346464,15.7819843292236,8.0154718196038,688684
202,18.1374554634094,10.0656421067092,15.857399225235,8.05410200386799,686375
203,18.1381018161774,10.105212987638,15.9335751533508,8.09272687224781,694206
204,18.1385543346405,10.144400018599,16.0096566677094,8.13134604198177,694356
205,18.139130115509,10.1832093880015,16.0860426425934,8.16996107402357,693985
206,18.1396594047546,10.2216463446041,16.1616778373718,8.20856840138274,690359
207,18.1398735046387,10.259714744412,16.2385737895966,8.24717419651839,697882
208,18.1402153968811,10.2974204891606,16.314591884613,8.28577428115042,693042
209,18.1407186985016,10.3347695282527,16.3915379047394,8.32437315554846,699073
210,18.8734216690063,10.3752370739435,16.4672796726227,8.36296512956303,687962
211,18.874116897583,10.4153261297154,16.5424861907959,8.40154777607828,695782
212,18.8800132274628,10.4550664447283,16.6181628704071,8.44012343379813,690698
213,18.8806557655334,10.4944383574423,16.6939885616302,8.4786928970123,688102
214,18.8810970783234,10.5334460724232,16.769638299942,8.51725543377011,689553
215,18.8815588951111,10.5720947428986,16.8455078601837,8.55581215796647,689117
216,18.882111787796,10.6103897523221,16.9211912155151,8.59436229187223,688729
217,18.882571220398,10.6483355388729,16.9959511756897,8.63290169042185,678899
218,18.8831689357758,10.6859375178542,17.0710778236389,8.67143217504841,686075
